label,csv_file,period,sample,quantity,value,stat
S2,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Fa18 Out,mc,current_efficiency_factor,0.831513798469,0.00132373208596
S2,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Fa18 Out,data,slope_percent_per_nA,-0.321816515313,0.0507978258977
S2,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Fa18 Out,mc,slope_percent_per_nA,-0.3369724030623682,0.0026474641719141136
S2,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp19 Inb,data,current_efficiency_factor,0.810342637384,0.0394974981379
S2,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp19 Inb,mc,current_efficiency_factor,0.829974567266,0.00240763262852
S2,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp19 Inb,data,slope_percent_per_nA,0.0,0.0
S2,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp19 Inb,mc,slope_percent_per_nA,-0.33341653693104556,0.004753175829707931
S3,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp18 Inb,data,current_efficiency_factor,0.643557370333,0.0296053657014
S3,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp18 Inb,mc,current_efficiency_factor,0.866242061583,0.00262867032436
S3,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp18 Inb,data,slope_percent_per_nA,-0.729250415615,0.0605699864305
S3,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp18 Inb,mc,slope_percent_per_nA,-0.2675158768334752,0.005257340648706214
S3,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp18 Out,data,current_efficiency_factor,0.730885774523,0.101979887012
S3,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp18 Out,mc,current_efficiency_factor,0.77262948314,0.00183204115154
S3,/Users/tbhayward/Desktop/dvcs cross sections/elec_sec2/output/dvcs_current_dependence/epg/period_summary.csv,Sp18 Out,data,slope_percent_per_nA,-0.60151563951,0.227942231015
